title,type,number_of_episodes,genres,popularity,actress,SumOfTime,Dates,TMBDid,Release Date
See You Yesterday,film,,"['Science Fiction', 'Drama', 'Adventure', 'Crime', 'Action']",,"['Eden Duncan-Smith', 'Dante Crichlow', 'Astro', 'Marsha Stephanie Blake', 'Johnathan Nieves', 'Michael J. Fox', 'Myra Lucretia Taylor', 'Wavyy Jonez', 'Rayshawn Richardson', 'Khail Bryant']",,,582607.0,2019-05-03
Good Sam,film,,"['Romance', 'Drama', 'Comedy']",,"['Tiya Sircar', 'Chad Connell', 'Marco Grazzini', 'Jesse Camacho', 'Mark Camacho', 'Elana Dunkelman', 'Kelly Hope Taylor', 'Kenny Wong', 'Daniela Sandiford', 'Christina Tannous']",,,602609.0,2019-05-16
The Da Vinci Code,film,,"['Thriller', 'Mystery']",,"['Tom Hanks', 'Audrey Tautou', 'Ian McKellen', 'Jean Reno', 'Paul Bettany', 'Alfred Molina', 'Jürgen Prochnow', 'Jean-Yves Berteloot', 'Etienne Chicot', 'Jean-Pierre Marielle']",,,591.0,2006-05-17
The Last Summer,film,,"['Romance', 'Comedy']",,"['K.J. Apa', 'Maia Mitchell', 'Jacob Latimore', 'Halston Sage', 'Tyler Posey', 'Mario Revolori', 'Sosie Bacon', 'Gage Golightly', 'Greer Grammer', 'Nicole Forester']",,,502292.0,2019-05-03
Seven Pounds,film,,['Drama'],,"['Will Smith', 'Rosario Dawson', 'Woody Harrelson', 'Michael Ealy', 'Barry Pepper', 'Elpidia Carrillo', 'Robinne Lee', 'Bill Smitrovich', 'Joe Nuñez', 'Sarah Jane Morris']",,,11321.0,2008-12-18
The Little Mermaid,film,,"['Adventure', 'Family', 'Fantasy', 'Romance']",,"['Halle Bailey', 'Jonah Hauer-King', 'Daveed Diggs', 'Awkwafina', 'Jacob Tremblay', 'Noma Dumezweni', 'Javier Bardem', 'Melissa McCarthy', 'Art Malik', 'Jessica Alexander']",,,447277.0,2023-05-18
Icarus,film,,['Documentary'],,"['Bryan Fogel', 'Dave Zabriskie', 'Don Catlin', 'Grigory Rodchenkov', 'Scott Brandt', 'Ben Stone', 'Richard Pound', 'Richard McLaren', 'Nikita Kamaev', 'Thomas Bach']",,,432976.0,2017-06-03
Isn't It Romantic,film,,"['Comedy', 'Fantasy', 'Romance']",,"['Rebel Wilson', 'Liam Hemsworth', 'Adam DeVine', 'Priyanka Chopra Jonas', 'Betty Gilpin', 'Brandon Scott Jones', 'Tom Ellis', 'Jennifer Saunders', 'Jay Oakerson', 'Michelle Buteau']",,,449563.0,2019-02-13
Battle,film,,"['Drama', 'Romance', 'Music']",,"['Lisa Teige', 'Fabian Svegaard Tapia', 'Vebjørn Enger', 'Charlott Madeleine Utzig', 'Achmed Akkabi', 'Karen-Lise Mynster', 'Stig R. Amdam', 'Sofie Albertine Foss', 'Morad Aziman', 'Marius Vold']",,,513574.0,2018-09-28
Elf,film,,"['Comedy', 'Family', 'Fantasy']",,"['Will Ferrell', 'James Caan', 'Bob Newhart', 'Ed Asner', 'Mary Steenburgen', 'Zooey Deschanel', 'Daniel Tay', 'Faizon Love', 'Peter Dinklage', 'Amy Sedaris']",,,10719.0,2003-10-09
